# time, G_impt_trot, X3Ur_trotX3, X3Ur_trotX1X2X3, X1X2X3Ur_trotX1X2X3
 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.000000000000000000e-01+0.000000000000000000e+00j)	 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.000000000000000000e+00+0.000000000000000000e+00j)
 (2.000000000000000042e-02+0.000000000000000000e+00j)	 (4.277956596494492669e-01-2.282100945337491305e-01j)	 (8.150231363300152188e-01-5.657109401550414196e-01j)	 (-4.361522787461348527e-02-1.174994950335105509e-01j)	 (9.867435426555196676e-01-1.030958854268691910e-01j)
 (4.000000000000000083e-02+0.000000000000000000e+00j)	 (2.392594011560915945e-01-3.710506594704286454e-01j)	 (3.323300017115382032e-01-9.118854749006496396e-01j)	 (-1.571689285616793552e-01-1.825365128471537479e-01j)	 (9.511302141498396701e-01-1.932088639365557858e-01j)
 (5.999999999999999778e-02+0.000000000000000000e+00j)	 (7.648818592799200289e-03-3.764964108441916646e-01j)	 (-2.595999384789677289e-01-9.047818360930524051e-01j)	 (-2.955449203624728738e-01-1.631897701013760582e-01j)	 (9.040095686863651725e-01-2.622765691130096166e-01j)
 (8.000000000000000167e-02+0.000000000000000000e+00j)	 (-1.772271882817629263e-01-2.461784365304758027e-01j)	 (-7.297093957143652165e-01-5.487156665737746852e-01j)	 (-4.034401339569488876e-01-6.059185898677010851e-02j)	 (8.587015127478925258e-01-3.101554399681022978e-01j)
 (1.000000000000000056e-01+0.000000000000000000e+00j)	 (-2.441052428043938849e-01-3.472554693195034625e-02j)	 (-8.946678753776425852e-01+1.563536451841573277e-02j)	 (-4.369860905450643762e-01+9.147723658796881596e-02j)	 (8.258190436112473609e-01-3.445257306288947996e-01j)
 (1.199999999999999956e-01+0.000000000000000000e+00j)	 (-1.681144269107423261e-01+1.716076047912037383e-01j)	 (-6.905221439793108873e-01+5.662224331904507357e-01j)	 (-3.809039856809117164e-01+2.397571240203222598e-01j)	 (8.091602004571372131e-01-3.777412410236200002e-01j)
 (1.400000000000000133e-01+0.000000000000000000e+00j)	 (1.951032103526618294e-02+2.886725461025199668e-01j)	 (-1.976887433374031611e-01+8.864192790027548563e-01j)	 (-2.544884446154674351e-01+3.322885103748151603e-01j)	 (8.042745902062475860e-01-4.218558533180005177e-01j)
 (1.600000000000000033e-01+0.000000000000000000e+00j)	 (2.436446832287488262e-01+2.673352384584772312e-01j)	 (3.904794877620504923e-01+8.496963303617546259e-01j)	 (-1.040811939507933076e-01+3.386872021093073060e-01j)	 (8.002644593654402172e-01-4.837715155625489927e-01j)
 (1.799999999999999933e-01+0.000000000000000000e+00j)	 (4.146465867178470988e-01+1.126986120407131586e-01j)	 (8.432674268973828768e-01+4.690812181999038377e-01j)	 (1.502384885161496889e-02+2.619869108021310455e-01j)	 (7.841160351681211171e-01-5.624048238824639334e-01j)
