# time, all_Ur_only, Ur_only_3term,
 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+4.666473657263651466e-03j)	 (0.000000000000000000e+00+4.949316369738278668e-03j)
 (2.000000000000000042e-02+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-2.445645886429948790e-01j)	 (-0.000000000000000000e+00-2.258616142806106897e-01j)
 (4.000000000000000083e-02+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-4.004957682356628523e-01j)	 (-0.000000000000000000e+00-3.671556835027171561e-01j)
 (5.999999999999999778e-02+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-4.035946228696017379e-01j)	 (-0.000000000000000000e+00-3.762295904376823374e-01j)
 (8.000000000000000167e-02+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-2.560691215231328810e-01j)	 (-0.000000000000000000e+00-2.460282052302839029e-01j)
 (1.000000000000000056e-01+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-2.552625368503338293e-02j)	 (-0.000000000000000000e+00-4.281501448504446139e-02j)
 (1.199999999999999956e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+2.133251188320080538e-01j)	 (0.000000000000000000e+00+1.706158692483405737e-01j)
 (1.400000000000000133e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+3.469712262545428527e-01j)	 (0.000000000000000000e+00+2.904380390986783800e-01j)
 (1.600000000000000033e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+3.259169892336878926e-01j)	 (0.000000000000000000e+00+2.653532934250600883e-01j)
 (1.799999999999999933e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+1.604826873489940686e-01j)	 (0.000000000000000000e+00+1.123640708892495038e-01j)
 (2.000000000000000111e-01+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-9.283979630750172074e-02j)	 (-0.000000000000000000e+00-1.164925181381917252e-01j)
 (2.200000000000000011e-01+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-3.292011886936500598e-01j)	 (-0.000000000000000000e+00-3.345398448916084844e-01j)
 (2.399999999999999911e-01+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-4.685949314192416892e-01j)	 (-0.000000000000000000e+00-4.611349548777236018e-01j)
 (2.600000000000000089e-01+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-4.526442171517480739e-01j)	 (-0.000000000000000000e+00-4.474823376490862925e-01j)
 (2.800000000000000266e-01+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-2.863153409815594741e-01j)	 (-0.000000000000000000e+00-3.003160552490530821e-01j)
 (2.999999999999999889e-01+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-4.783798000153571123e-02j)	 (-0.000000000000000000e+00-8.895623932753345120e-02j)
 (3.200000000000000067e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+1.965358275878947014e-01j)	 (0.000000000000000000e+00+1.314466483796730145e-01j)
 (3.400000000000000244e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+3.136868556615462489e-01j)	 (0.000000000000000000e+00+2.386628261776535531e-01j)
 (3.599999999999999867e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+2.703658618145015069e-01j)	 (0.000000000000000000e+00+1.982056147944143143e-01j)
 (3.800000000000000044e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+9.501767286394965928e-02j)	 (0.000000000000000000e+00+3.784808960501730157e-02j)
 (4.000000000000000222e-01+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-1.471926047933694581e-01j)	 (-0.000000000000000000e+00-1.808508875778491176e-01j)
 (4.199999999999999845e-01+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-3.750343272654077520e-01j)	 (-0.000000000000000000e+00-3.875501172924096238e-01j)
