# time, all_Ur_only, Ur_only_3term, <X3UrX3>, <X3UrX1X2X3>, <X1X2X3UrX1X2X3>
 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-5.386185698572426399e-03j)	 (-0.000000000000000000e+00-5.386685673574300934e-03j)	 (-1.079999999999997629e-02+0.000000000000000000e+00j)	 (-5.199999999999982414e-03+0.000000000000000000e+00j)	 (1.439999999999996838e-02+0.000000000000000000e+00j)
 (2.000000000000000042e-02+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-2.372911730870148339e-01j)	 (-0.000000000000000000e+00-2.372751738869548488e-01j)	 (-4.745999999999999663e-01+0.000000000000000000e+00j)	 (-7.599999999999995648e-03+0.000000000000000000e+00j)	 (-8.399999999999963052e-03+0.000000000000000000e+00j)
 (4.000000000000000083e-02+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-4.193601247531371090e-01j)	 (-0.000000000000000000e+00-4.193556249781202339e-01j)	 (-8.387999999999999901e-01+0.000000000000000000e+00j)	 (-1.359999999999994547e-02+0.000000000000000000e+00j)	 (-8.599999999999996536e-03+0.000000000000000000e+00j)
 (5.999999999999999778e-02+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-4.988246090793113097e-01j)	 (-0.000000000000000000e+00-4.987886108791763085e-01j)	 (-9.976000000000000423e-01+0.000000000000000000e+00j)	 (4.000000000000114575e-04+0.000000000000000000e+00j)	 (-6.399999999999961275e-03+0.000000000000000000e+00j)
 (8.000000000000000167e-02+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-4.531261864735075529e-01j)	 (-0.000000000000000000e+00-4.531436855985731538e-01j)	 (-9.064000000000000945e-01+0.000000000000000000e+00j)	 (-1.800000000000001599e-02+0.000000000000000000e+00j)	 (-9.999999999999453770e-04+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-2.916844009574237617e-01j)	 (-0.000000000000000000e+00-2.916864008574312495e-01j)	 (-5.833999999999999186e-01+0.000000000000000000e+00j)	 (-2.599999999999935696e-03+0.000000000000000000e+00j)	 (-1.540000000000002478e-02+0.000000000000000000e+00j)
 (1.199999999999999956e-01+0.000000000000000000e+00j)	 (-0.000000000000000000e+00-6.686025453090911619e-02j)	 (-0.000000000000000000e+00-6.687925358098036066e-02j)	 (-1.337999999999999745e-01+0.000000000000000000e+00j)	 (-7.600000000000023404e-03+0.000000000000000000e+00j)	 (6.000000000000005329e-03+0.000000000000000000e+00j)
 (1.400000000000000133e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+1.861958153263476301e-01j)	 (0.000000000000000000e+00+1.861763163012745137e-01j)	 (3.724000000000000643e-01+0.000000000000000000e+00j)	 (7.600000000000051159e-03+0.000000000000000000e+00j)	 (-2.399999999999957723e-03+0.000000000000000000e+00j)
 (1.600000000000000033e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+3.882941855360786398e-01j)	 (0.000000000000000000e+00+3.882671868859773889e-01j)	 (7.765999999999999570e-01+0.000000000000000000e+00j)	 (9.199999999999985967e-03+0.000000000000000000e+00j)	 (-8.599999999999996536e-03+0.000000000000000000e+00j)
 (1.799999999999999933e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+4.899847585680998097e-01j)	 (0.000000000000000000e+00+4.899737591180585716e-01j)	 (9.799999999999999822e-01+0.000000000000000000e+00j)	 (5.600000000000049383e-03+0.000000000000000000e+00j)	 (5.999999999999894307e-04+0.000000000000000000e+00j)
 (2.000000000000000111e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+4.763010527460365684e-01j)	 (0.000000000000000000e+00+4.762885533709896868e-01j)	 (9.525999999999998913e-01+0.000000000000000000e+00j)	 (-2.000000000000334843e-04+0.000000000000000000e+00j)	 (-3.200000000000036149e-03+0.000000000000000000e+00j)
